text,ipa
দ ি ঘ া,d ̪ i g ʱ ɐ
এ হ ে ন,e h e n
শ ি ক ্ ষ ক ও,ʃ i k k ʰ ɔ k o
স ্ ট া র ্ ট আ প,s t ɐ ɾ t ɐ p
প ি ন া,p i n ɐ
"ম ি য় া ন ম া র ,","m i ʲ ɐ n m ɐ ɾ ,"
স ি ন ি য় র দ ে র ও,s i n i ʲ o ɾ d ̪ e ɾ o
ত থ ্ য ম ন ্ ত ্ র ী,t ̪ o t ̪ t ̪ ʰ o m ɔ n t ̪ ɾ i
স ্ ট া র ্ ক,s t ɐ ɾ k o
হ চ ্ ছ ে,h o c c ʰ e
ক া র ব া র ী র,k ɐ ɾ b ɐ ɾ i ɾ
জ ি ত ে ছ ে,ɟ i t ̪ e c ʰ e
ক ো ন ো ক া ল ে,k o n o k ɐ l e
ক ্ র ি স ট ফ,k ɾ i s t o p ʰ
ক া র া গ া র ক ে,k ɐ ɾ ɐ g ɐ ɾ k e
প ্ র ত ি শ ো ধ,p ɾ o t ̪ i ʃ o d ̪ ʱ
ম ু ন ্ স ী গ ঞ ্ জ,m u n ʃ i g ɔ n ɟ
আ ব ে দ ন ক া র ী র া ।,ɐ b e d ̪ ɔ n k ɐ ɾ i ɾ ɐ ।
ট ্ র ল া র ব ো ঝ া ই,t ɾ o l ɐ ɾ b o ɟ ʱ ɐ ͡ i ̯
ও স ম া ন ে র,o s m ɐ n e ɾ
শ ি ব ি র ে র,ʃ i b i ɾ e ɾ
চ া ও য় া - প া ও য় া ।,c ɐ ͡ o ̯ ʷ ɐ - p ɐ ͡ o ̯ ʷ ɐ ।
ল া ই ফ স ্ ট া ই ল,l ɐ ͡ i ̯ p ʰ ɔ s t ɐ ͡ i ̯ l
ব র প া,b ɔ ɾ p ɐ
স দ স ্ য র া ও,ʃ ɔ d ̪ o ʃ ʃ o ɾ ɐ ͡ o ̯
ক া ম া ল ে র,k ɐ m ɐ l e ɾ
প দ ট ি ।,p ɔ d ̪ o t i ।
ক া ট া ক ে,k ɐ t ɐ k e
শ া ক,ʃ ɐ k
ল ে খ ি ক া,l e k ʰ i k ɐ
উ ত ্ ত র া ঞ ্ চ ল ে র,u t ̪ t ̪ ɔ ɾ ɐ n c ɔ l e ɾ
অ ন ্ য া য় ক া র ী,ɔ n n ɐ ʲ k ɐ ɾ i
গ ্ র া হ ক,g ɾ ɐ h o k
ঝ ু প ড় ি,ɟ ʱ u p ɽ i
ভ ো র র া ত ে র,b ʱ o ɾ ɾ ɐ t ̪ e ɾ
শ া ম স ু দ ্ দ ো হ া,ʃ ɐ m s u d ̪ d ̪ o h ɐ
ড গ া য়,d ɔ g ɐ ʲ
আ ন ্ ত র ্ জ া ত ি ক ভ া ব ে ও,ɐ n t ̪ ɔ ɾ ɟ ɐ t ̪ i k b ʱ ɐ b e ͡ o ̯
ম ো ড় ে র,m o ɽ e ɾ
দ ে ই - দ ি চ ্ ছ ি,d ̪ e ͡ i ̯ - d ̪ i c c ʰ i
জ য় ন গ র,ɟ ɔ ʲ o n g ɔ ɾ
"ধ া র ণ া ,","d ̪ ʱ ɐ ɾ o n ɐ ,"
ব ি শ ে ষ,b i ʃ e ʃ
আ ম দ া ন ি ক া র ক র া ও,ɐ m d ̪ ɐ n i k ɐ ɾ k ɾ ɐ ͡ o ̯
প ্ ল ে স ি,p l e s i
দ ে শ - ব ি দ ে শ ে,d ̪ e ʃ - b i d ̪ e ʃ e
ক া ই ঞ ্ জ া,k ɐ ͡ i ̯ n ɟ ɐ
ম া ত ৃ গ র ্ ভ,m ɐ t ̪ ɾ i g ɔ ɾ b ʱ o
জ ে র ি ন,ɟ e ɾ i n
ভ া র ্ স ন ট ি,b ʱ ɐ ɾ s n t i
ব ্ র ে ক ি ং য় ে র,b ɾ e k i l ɔ ʲ e ɾ
স ি ফ ি ল ি স,s i p ʰ i l i ʃ
ন ি র ্ ম া ণ ে র,n i ɾ m ɐ n e ɾ
ই ন ্ ড ি য় া র ।,i n d i ʲ ɐ ɾ ।
ল ্ য া প ট প,l ɛ p ɔ t o p
"ল ো ক জ ন ,","l o k ɟ ɔ n ,"
হ া স প া ত া ল,h ɐ ʃ p ɐ t ̪ ɐ l
উ ত ্ ত র ণ,u t ̪ t ̪ ɔ ɾ o n
চ ে জ ।,c e ɟ ।
ত া জ উ দ ্ দ ী ন,t ̪ ɐ ɟ u d ̪ d ̪ i n
ম ফ ি জ,m o p ʰ i ɟ
স দ স ্ য স হ,ʃ ɔ d ̪ o ʃ ʃ o ʃ ɔ h o
ব া ধ া ।,b ɐ d ̪ ʱ ɐ ।
ম হ া,m ɔ h ɐ
ম ু শ ফ ি ক র া ।,m u ʃ p ʰ i k ɾ ɐ ।
ব ল ছ ি ল ে ন,b o l c ʰ i l e n
স া জ - স জ ্ জ া য়,ʃ ɐ ɟ - ʃ ɔ ɟ ɟ ɐ ʲ
ট ু ই ট ে,t u ͡ i ̯ t e
এ র প র ই,e ɾ p ɔ ɾ i
শ ি ল া ।,ʃ i l ɐ ।
এ ম ি র ে ট স ে র,e m i ɾ e t ʃ e ɾ
আ ম ি ন ন া ক,ɐ m i n n ɐ k
ক ৃ ষ ্ ণ া দ ে র,k ɾ i ʃ n ɐ d ̪ e ɾ
চ ি ল ি র,c i l i ɾ
ব ি ব র ণ ে,b i b ɔ ɾ o n e
ম া হ ব ু ব ।,m ɐ h o b u b ।
ম ি ল া র,m i l ɐ ɾ
ক ্ য া প র া ।,k ɛ p ɔ ɾ ɐ ।
ব য় স ্ ক র া,b ɔ ʲ o ʃ k o ɾ ɐ
ব ু চ ি দ ং,b u c i d ̪ ɔ ŋ
স ে ব া - য ত œ,ʃ e b ɐ - ɟ ɔ t ̪ o
ন য় া দ ি ল ্ ল ি র,n ɔ ʲ ɐ d ̪ i l l i ɾ
দ ল ক ে ও,d ̪ ɔ l k e ͡ o ̯
প ৌ ঁ ছ া ল ে,p o ͡ u ̯ ̃ c ʰ ɐ l e
ট ি আ ই ব ি র,t i ͡ ɐ ̯ ͡ i ̯ b i ɾ
ল া গ া ব ে,l ɐ g ɐ b e
প ূ র ্ ব া ব স ্ থ া য়,p u ɾ b ɐ b ɔ s t ̪ ʰ ɐ ʲ
ঘ া য় ে ল,g ʱ ɐ ʲ e l
প ্ র ভ ু র,p ɾ o b ʱ u ɾ
ই য় া স ি ম,i ʲ ɐ ʃ i m
আ ব ে দ ন গ ু ল ো,ɐ b e d ̪ ɔ n g u l o
ভ য় ে জ,b ʱ ɔ ʲ e ɟ
উ প া চ া র ্ য,u p ɐ c ɐ ɾ ɟ o
দ ে ব ী ।,d ̪ e b i ।
"প ে য় ে ছ ে ন ,","p e ʲ e c ʰ e n ,"
ট ্ র ে ন া র ও,t ɾ e n ɐ ɾ o
উ ৎ স া হ ি ত,u t ̪ ʃ ɐ h i t ̪ o
শ প ি ং য় ে,ʃ o p i ŋ ʲ e
ভ া গ ্ ন ি ক ে,b ʱ ɐ g n i k e
অ র ্ ধ ে ক ।,ɔ ɾ d ̪ ʱ e k ।
ম ূ র ্ ত ি ত ে ।,m u ɾ t ̪ i t ̪ e ।
স ম া জ,ʃ ɔ m ɐ ɟ
প থ ে ।,p ɔ t ̪ ʰ e ।
জ া য় া গ া,ɟ ɐ ʲ ɐ g ɐ
স ং ঘ া ত ম ু ক ্ ত,ʃ ɔ ŋ g ʱ ɐ t ̪ m u k t ̪ o
ছ ো ব ল ে ।,c ʰ o b o l e ।
প দ ক ্ ষ ে প,p ɔ d ̪ o k k ʰ e p
গ ্ র া স,g ɾ ɐ ʃ
গ ে ও ব ু ন ি য় া,g e ͡ o ̯ b u n i ʲ ɐ
ফ ো ক,p ʰ o k
জ া হ া ন ্ ন া ম,ɟ ɐ h ɐ n n ɐ m
য ু গ া ন ্ ত র স হ,ɟ u g ɐ n t ̪ ɔ ɾ ʃ ɔ h o
ম ু ক ্ ত া র ু জ ্ জ া ম া ন ।,m u k t ̪ ɐ ɾ u ɟ ɟ ɐ m ɐ n ।
ফ া ই ন া ল ।,p ʰ ɐ ͡ i ̯ n ɐ l ।
"ই য় া ছ ি ন ,","i ʲ ɐ c ʰ i n ,"
দ া ফ ত র ি ক,d ̪ ɐ p ʰ t ̪ ɔ ɾ i k
স া ফ ি য় া,ʃ ɐ p ʰ i ʲ ɐ
ম ি জ া ন উ দ ্ দ ি ন ।,m i ɟ ɐ n u d ̪ d ̪ i n ।
ভ ো ল ে ন ন ি,b ʱ o l e n n i
অ ব ম া ন ন া র,ɔ b o m ɐ n n ɐ ɾ
স ে ল ি ম ক ে,s e l i m k e
খ া দ ি ম,k ʰ ɐ d ̪ i m
গ ্ য া ট ক ো,g ɛ t k o
ছ ু র ি,c ʰ u ɾ i
ঘ ট ন া ট ি,g ʱ ɔ t o n ɐ t i
থ া ন া ধ ী ন,t ̪ ʰ ɐ n ɐ d ̪ ʱ i n
প র ্ য ট ক র া,p o ɾ ɟ o t o k ɔ ɾ ɐ
ও প ে ন ি ং,o p e n i ŋ
উ ড় ত া,u ɽ t ̪ ɐ
ক ী র ্ ত ি ত ে ও,k i ɾ t ̪ i t ̪ e ͡ o ̯
স া র ি য় া ক া ন ্ দ ি র,ʃ ɐ ɾ i ʲ ɐ k ɐ n d ̪ i ɾ
ক া জ ট া ই,k ɐ ɟ t ɐ ͡ i ̯
ব ু ঝ ে ছ ি ল,b u ɟ ʱ e c ʰ i l o
দ ু র ্ ভ া গ ্ য ে র,d ̪ u ɾ b ʱ ɐ g g e ɾ
ই স ্ য ু ।,i s ʃ u ।
অ ত ৃ প ্ ত ি,ɔ t ̪ ɾ i p t ̪ i
ন ি র ্ ব া চ ক ে র,n i ɾ b ɐ c o k e ɾ
গ া ছ ে,g ɐ c ʰ e
প া ম গ া ছ ে র,p ɐ m g ɐ c ʰ e ɾ
প ড ় ল ে ন,p ɔ ɽ l e n
ভ ৈ র ব ী,b ʱ o ͡ i ̯ ɾ o b i
ত া র ক া ক ে,t ̪ ɐ ɾ k ɐ k e
ল া ঠ ি চ া র ্ জ,l ɐ t ʰ i c ɐ ɾ ɟ o
ল ঞ ্ চ ট ি ক ে,l ɔ n c o t i k e
স জ ন ী,ʃ ɔ ɟ n i
ও ঠ া র,o t ʰ ɐ ɾ
গ ্ য া ম ্ ব ল ি ং য় ে র,g ɛ m b o l i ŋ ʲ e ɾ
শ ে ব া চ ি ম,ʃ e b ɐ c i m
ব ি ল ে ত ে,b i l e t ̪ e
থ ি ম ্ প ু ত ে ।,t ̪ ʰ i m p u t ̪ e ।
ম া ল ি ক া ন া ধ ী ন,m ɐ l i k ɐ n ɐ d ̪ ʱ i n
আ ল ক া স ে র ে র ।,ɐ l k ɐ ʃ e ɾ e ɾ ।
স ্ ব র ্ ণ প ট ্ ট ি,ʃ ɔ ɾ n o p ɔ t t i
ত া ই ফ ু ল,t ̪ ɐ ͡ i ̯ p ʰ u l
স ম ্ প ্ র স া র ণ স হ,ʃ ɔ m p ɾ o ʃ ɐ ɾ o n ʃ ɔ h o
ক ু ড় ি গ ্ র া ম ে র,k u ɽ i g ɾ ɐ m e ɾ
স ্ ব ী ক া র ো ক ্ ত ি ।,ʃ i k ɐ ɾ o k t ̪ i ।
র ও শ ন,ɾ ɔ ͡ o ̯ ʃ o n
ক র ি য় ে ছ ে ন,k o ɾ i ʲ e c ʰ e n
ট ্ র ু ল া র ে র,t ɾ u l ɐ ɾ e ɾ
স ্ ট ্ র া ই ক ক ে,s t ɾ ɐ ͡ i ̯ k k e
জ ে ল া র,ɟ e l ɐ ɾ
এ য় া র ল া ই ন ্ স ে র,e ʲ ɐ ɾ l ɐ ͡ i ̯ n ʃ e ɾ
আ ন ন ্ দ ম য়,ɐ n o n d ̪ o m ɔ ʲ
প ্ র শ ং স ি ত,p ɾ o ʃ o ŋ ʃ i t ̪
দ ু ল া ল ী,d ̪ u l ɐ l i
এ ম প ি ও ভ ু ক ্ ত ।,e m p i ͡ o ̯ b ʱ u k t ̪ o ।
প র ্ য া য় ে র,p o ɾ ɟ ɐ ʲ e ɾ
ন ি জ ব া ড় ি ত ে,n i ɟ ɔ b ɐ ɽ i t ̪ e
খ ে া ঁ জ া প ু র,k ʰ e ͡ ɐ ̯ ̃ ɟ ɐ p u ɾ
এ ন আ র,ɛ n ɐ ɾ
"প ে র ে ছ ি ,","p e ɾ e c ʰ i ,"
স ে ।,ʃ e ।
ক া ল ী ব া ড় ি,k ɐ l i b ɐ ɽ i
স ং ক ্ র া ম ক,ʃ ɔ ŋ k ɾ ɐ m o k
‘ ম া শ র া ফ ি,‘ m ɐ ʃ ɾ ɐ p ʰ i
ম া র া ও,m ɐ ɾ ɐ ͡ o ̯
"ব র ি শ া ল ,","b o ɾ i ʃ ɐ l ,"
স ি ঙ ্ গ া প ু র ।,ʃ i ŋ g ɐ p u ɾ ।
ভ ু ল ে ত ো ম া র,b ʱ u l e t ̪ o m ɐ ɾ
ধ র ে ন ।,d ̪ ʱ ɔ ɾ e n ।
দ ে খ ি য় ে ছ ে ন ।,d ̪ e k ʰ i ʲ e c ʰ e n ।
দ ে ন,d ̪ ɛ n
ম া ন ু ষ ে র ।,m ɐ n u ʃ e ɾ ।
স ন ্ দ ে হ া ত ী ত ভ া ব ে,ʃ ɔ n d ̪ e h ɐ t ̪ i t ̪ o b ʱ ɐ b e
আ ব ে দ ন ে র,ɐ b e d ̪ ɔ n e ɾ
ছ া ম ি ন,c ʰ ɐ m i n
হ া থ ু র ু স ি ং হ ে ও,h ɐ t ̪ ʰ u ɾ u ʃ i ŋ h e ͡ o ̯
দ ল ব দ ল ে র,d ̪ ɔ l b o d ̪ ɔ l e ɾ
স ভ া প ত ি - স ম ্ প া দ ক,ʃ ɔ b ʱ ɐ p o t ̪ i - ʃ ɔ m p ɐ d ̪ o k
ক ল ে জ প া ড় া র,k ɔ l e ɟ p ɐ ɽ ɐ ɾ
শ া ম ি ম ু উ জ ্ জ া ম া ন,ʃ ɐ m i m u ͡ u ̯ ɟ ɟ ɐ m ɐ n
স ে র া ।,ʃ e ɾ ɐ ।
ব া ন চ া র া ম প ু র,b ɐ n c ɐ ɾ ɐ m p u ɾ
ফ ড় ি ং ট ি,p ʰ o ɽ i ŋ t i
"ক র ত ে ন ,","k o ɾ t ̪ e n ,"
ব ু হ া র ি,b u h ɐ ɾ i
ট ে ন,t e n o
জ ্ য া স ন,ɟ ɛ ʃ o n
দ ূ র,d ̪ u ɾ
স ং জ ্ ঞ া ভ ু ক ্ ত,ʃ ɔ ŋ g g ɐ b ʱ u k t ̪ o
প ু র ু ষ দ ে র,p u ɾ u ʃ d ̪ e ɾ
ক ল ক া ত া য়,k o l k ɐ t ̪ ɐ ʲ
য া ও য় া ই,ɟ ɐ ͡ o ̯ ʷ ɐ ͡ i ̯
ক া ব ্ য গ ্ র ন ্ থ,k ɐ b b o g ɾ o n t ̪ ʰ o
ক ত ট ু ক ু,k ɔ t ̪ o t u k u
ক ি ন ্ ড া র গ া র ্ ট ে ন ে র,k i n d ɐ ɾ g ɐ ɾ t e n e ɾ
ন ব ্ ব ই,n ɔ b b o ͡ i ̯
ল ক ্ ষ ্ ম ী র,l o k k ʰ i ɾ
ভ ই র ‌ ্ য া,b ʱ o ͡ i ̯ ɾ ɟ ɐ
স া র ্ ক ু ল ে শ ন,ʃ ɐ ɾ k u l e ʃ o n
"ব ি শ ্ ব া স ,","b i ʃ ʃ ɐ ʃ ,"
ম ক ব ু ল স হ,m ɔ k b u l ʃ ɔ h o
ব চ ্ চ ন - ব ধ ূ ।,b ɔ c c o n - b o d ̪ ʱ u ।
য থ া য থ ভ া ব ে,ɟ o t ̪ ʰ ɐ ɟ o t ̪ o b ʱ ɐ b e
অ ন ু য া য ় ী,o n u ɟ ɐ ʲ i
ম া ল ত,m ɐ l o t ̪ o
খ া ত ে ই,k ʰ ɐ t ̪ e ͡ i ̯
ফ ত ু ল ্ ল া য়,p ʰ o t ̪ u l l ɐ ʲ
ও য় া র ি য় র ্ স ক ে,o ʷ ɐ ɾ i ʲ o ɾ s k e
এ ন ্ ট ি ব া য় ো ট ি ক,e n t i b ɐ ʲ o t i k
প র ী ক ্ ষ া ম ূ ল ক,p o ɾ i k k ʰ ɐ m u l o k
আ ক ব র,ɐ k o b o ɾ
ত থ ্ য ম ন ্ ত ্ র ী র,t ̪ o t ̪ t ̪ ʰ o m ɔ n t ̪ ɾ i ɾ
ম া হ ি ন,m ɐ h i n
হ ল ো -,h o l o -
অ ্ য া ন া জ ে ন,ɛ n ɐ ɟ e n
ড ি এ ন স ি স ি,d i ͡ e ̯ n ʃ i ʃ i
ও ব া য় দ ু ল,o b ɐ ʲ d ̪ u l
আ ই র ি ব,ɐ ͡ i ̯ ɾ i b
অ স ্ থ ি র ত া ।,ɔ s t ̪ ʰ i ɾ o t ̪ ɐ ।
আ শ ঙ ্ ক া জ ন ক ।,ɐ ʃ o ŋ k ɐ ɟ ɔ n o k ।
জ ব ্ ব া র,ɟ ɔ b b ɐ ɾ
প ন ্ ট ু ন ও,p ɔ n t u n o
খ স ড় া য়,k ʰ ɔ ʃ ɽ ɐ ʲ
স ্ ক ্ য া ন,s k ɐ n
গ ্ য া ব া ড ি ন,g ɛ b ɐ d i n
ড ে ক ে,d e k e
ক ম ল া প ু র,k ɔ m l ɐ p u ɾ
ব দ র,b ɔ d ̪ o ɾ
ক ী র ্ ত ি ত ে,k i ɾ t ̪ i t ̪ e
জ ু ভ ে ন ্ ট া স ে র,ɟ u b ʱ e n t ɐ s e ɾ
ট ্ য ু র ি জ ম,t u ɾ i ɟ ɔ m
ম ন ভ র ে,m o n b ʱ ɔ ɾ e
ঘ ে া ষ ণ া,g ʱ e ͡ ɐ ̯ ʃ o n ɐ
ধ র ্ ষ ক দ ে র,d ̪ ʱ ɔ ɾ ʃ o k d ̪ e ɾ
ব ে শ ি ই,b e ʃ i ͡ i ̯
র ে ট,ɾ e t
গ ো ফ র া ন ে র,g o p ʰ ɔ ɾ ɐ n e ɾ
অ ন ্ ধ,ɔ n d ̪ ʱ o
"ছ া গ ল ,","c ʰ ɐ g o l ,"
ড ব ্ ল ি উ ট ি ও,d ɔ b l i ͡ u ̯ t i ͡ o ̯
ন ত ু ন ত ্ ব,n o t ̪ u n o t ̪ t ̪ o
খ ু ঁ জ ি র,k ʰ u ̃ ɟ i ɾ
র া জ ধ া ন ী জ ু ড় ে,ɾ ɐ ɟ d ̪ ʱ ɐ n i ɟ u ɽ e
ম গ ।,m ɔ g ।
ম র ্ য া দ া য়,m o ɾ ɟ ɐ d ̪ ɐ ʲ
হ য় ো ছ ে,h o ʲ o c ʰ e
প া ঠ া ন ো,p ɐ t ʰ ɐ n o
স ি এ ই চ ট ি ড ি এ ফ,ʃ i ͡ e ̯ ͡ i ̯ c t i d i ͡ e ̯ p ʰ
"ভ ব ন ,","b ʱ ɔ b o n ,"
দ ু ঃ স হ,d ̪ u ʃ ʃ ɔ h o
ন ূ ন,n u n
দ ে,d ̪ e
দ ্ ব ি ধ া,d ̪ i d ̪ ʱ ɐ
র া ম - দ া,ɾ ɐ m - d ̪ ɐ
ক র ্ ম ক র ্ ত া দ ে র ও,k ɔ ɾ m o k ɔ ɾ t ̪ ɐ d ̪ e ɾ o
স ্ ব া ক ্ ষ র ি ত,ʃ ɐ k k ʰ o ɾ i t ̪ o
ম া ম ল া - ম ো ক দ ্ দ ম া ও,m ɐ m l ɐ - m o k ɔ d ̪ d ̪ o m ɐ ͡ o ̯
ছ ি ল া ম,c ʰ i l ɐ m
প র ্ য ট ন,p o ɾ ɟ o t o n
ন ল ু য় া,n o l u ʲ ɐ
ন ি র া প ত ্ ত া র ক ্ ষ ী র া,n i ɾ ɐ p ɔ t ̪ t ̪ ɐ ɾ o k ʰ i ɾ ɐ
দ ু ষ ্ ক ৃ ত ক া র ী র া,d ̪ u ʃ k ɾ i t ̪ o k ɐ ɾ i ɾ ɐ
ন ে শ া দ ্ র ব ্ য,n e ʃ ɐ d ̪ ɾ o b b o
ত া ম ি ম া,t ̪ ɐ m i m ɐ
স ু খ ী ।,ʃ u k ʰ i ।
অ ন ু ম ত ি প ত ্ র,o n u m o t ̪ i p ɔ t ̪ ɾ o
ঠ ো ঁ ট ে,t ʰ o ̃ t e
আ হ ম ে দ ক ে,ɐ h o m e d ̪ k e
শ া ন ্ ত ি ক ে,ʃ ɐ n t ̪ i k e
প া র স ্ প র ি ক,p ɐ ɾ o ʃ p o ɾ i k
ল ো ক স া ন,l o k ʃ ɐ n
"এ ল া চ ,","e l ɐ c ,"
স ে খ া ন ে ই,ʃ e k ʰ ɐ n e ͡ i ̯
এ ই চ ট ি স ি ।,e ͡ i ̯ c t i s i ।
ক ্ ষ ে প ে,k ʰ e p e
স দ র স হ,ʃ ɔ d ̪ ɔ ɾ ʃ ɔ h o
শ ু ভ া ক া ক ্ স ক ্ ষ ী ক ে,ʃ u b ʱ ɐ k ɐ k ʃ o k k ʰ i k e
অ র ্ জ ু ন,ɔ ɾ ɟ u n
ব ক ্ স ে র,b ɔ k s e ɾ
এ এ স এ স,e ͡ e ̯ ʃ o ͡ e ̯ s
ক া ল ু খ া ল ী,k ɐ l u k ʰ ɐ l i
অ ল ি উ র,ɔ l i ͡ u ̯ ɾ
ক ্ ষ ে ত ্ র ে,k ʰ e t ̪ ɾ e
খ া র ি জ ে র,k ʰ ɐ ɾ i ɟ e ɾ
ম জ ি ব র ক ে,m o ɟ i b ɔ ɾ k e
ক র ্ ত ৃ প ক ্ ষ ই,k ɔ ɾ t ̪ ɾ i p o k k ʰ o ͡ i ̯
প া ও ন া দ ি,p ɐ ͡ o ̯ n ɐ d ̪ i
র ো ড ম ্ য া প,ɾ o d m ɛ p
প ্ র চ া র,p ɾ o c ɐ ɾ
গ চ ্ ছ ি ত,g ɔ c c ʰ i t ̪ o
অ ত ি থ ি র া ।,o t ̪ i t ̪ i ɾ ɐ ।
ক ্ র া উ ন,k ɾ ɐ ͡ u ̯ n
স া জ ঘ র ে র,ʃ ɐ ɟ g ʱ ɔ ɾ e ɾ
স ম ্ প র ্ ক ট া,ʃ ɔ m p o ɾ k o t ɐ
ট া ও য় া র ে র,t ɐ ͡ o ̯ ʷ ɐ ɾ e ɾ
আ ক ন ে র,ɐ k o n e ɾ
প ্ র া ণ ভ ি ক ্ ষ া র,p ɾ ɐ n b ʱ i k k ʰ ɐ ɾ
ঘ ট ি য় ে ছ ে ।,g ʱ ɔ t i ʲ e c ʰ e ।
"ড া য় ে র ি ,","d ɐ ʲ e ɾ i ,"
ব া ং ল া র,b ɐ ŋ l ɐ ɾ
ব ত র ্ ম া ন ে,b ɔ t ̪ o ɾ m ɐ n e
চ র চ া ম ি ত া,c ɔ ɾ c ɐ m i t ̪ ɐ
র ে খ ে ই,ɾ e k ʰ e ͡ i ̯
হ ল ?,h ɔ l ?
ব য় া ন ে র,b ɔ ʲ ɐ n e ɾ
ল ি ঙ ্ ক ন,l i ŋ k o n
প া ক া,p ɐ k ɐ
প া ষ ণ ্ ড র া,p ɐ ʃ o n d o ɾ ɐ
ম ি ন ু,m i n u
ম া র প ি ট,m ɐ ɾ p i t
অ ব ি শ ্ ব া স ্ য ।,ɔ b i ʃ ʃ ɐ ʃ ʃ o ।
ই প ি জ ে ড,i p i ɟ e d
ঐ ক ম ত ্ য,o ͡ i ̯ k m o t ̪ t ̪ o
ম ্ য া ন ু ফ ্ য া ক চ া র া র ্ স,m ɛ n u p ʰ ɛ k c ɐ ɾ ɐ ɾ s
ব দ ল ি ত ে,b o d ̪ o l i t ̪ e
র দ ব দ ল ও,ɾ ɔ d ̪ o b o d ̪ ɔ l o
ক র ্ ম ক ্ ষ ম ত া,k ɔ ɾ m o k k ʰ ɔ m ɔ t ̪ ɐ
ই উ ন ে স ্ ক ো ।,i ͡ u ̯ n e s k o ।
দ স ্ ত গ ী র,d ̪ o s t ̪ o g i ɾ
ম ো ঃ,m o
"ম ো জ া ম ্ ম ে ল ,","m o ɟ ɐ m m t ̪ ɔ l ,"
"চ ে - গ ু য় ে ভ া র া ,","c e - g u ʲ e b ʱ ɐ ɾ ɐ ,"
প ্ র য় ো জ ন ে র,p ɾ o ʲ o ɟ o n e ɾ
ক ম া ন ো র,k ɔ m ɐ n o ɾ
স স ্ ত ্ র ী ক,ʃ ɔ s t ̪ ɾ i k
শ হ ী দ ু ল ্ ল া হ র,ʃ o h i d ̪ u l l ɐ h o ɾ
ন ড় া চ ড় া ই,n ɔ ɽ ɐ c o ɽ ɐ ͡ i ̯
র া দ া র ফ ো র ্ ড,ɾ ɐ d ̪ ɐ ɾ p ʰ o ɾ d
ধ া র া ব া হ ি ক ত া ।,d ̪ ʱ ɐ ɾ ɐ b ɐ h i k ɔ t ̪ ɐ ।
ব া স ক ে,b ɐ ʃ k e
ফ ি ত র ে র,p ʰ i t ̪ ɔ ɾ e ɾ
প ্ র দ া ন ে ন ্ দ ু,p ɾ o d ̪ ɐ n e n d ̪ u
খ ু ঁ ত,k ʰ u ̃ t ̪
আ দ ে শ ও,ɐ d ̪ e ʃ o
ব া ল ি গ া ঁ ও য় ে,b ɐ l i g ɐ ̃ o ʷ e
ভ র া,b ʱ ɔ ɾ ɐ
শ ি ল ্ প - প ্ র ত ি ষ ্ ঠ া ন ে র,ʃ i l p o - p ɾ o t ̪ i ʃ t ʰ ɐ n e ɾ
প ি ং র া ই ল,p i ŋ ɾ ɐ ͡ i ̯ l o
স ি ট ট ি,s i t t i
ছ ি ন ত া ই স হ,c ʰ i n t ̪ ɐ ͡ i ̯ ʃ ɔ h o
ম র হ ু ম,m o ɾ h u m
অ ম ী য়,ɔ m i ʲ o
গ ্ র া ফ া ই ট ে ।,g ɾ ɐ p ʰ ɐ ͡ i ̯ t e ।
ক ম া ন ্ ড ো,k ɔ m ɐ n d o
আ ড় া য়,ɐ ɽ ɐ ʲ
"ন ে ত া ক র ্ ম ী ,","n e t ̪ ɐ k ɔ ɾ m i ,"
স ে ন া র ক া ন ্ দ ি,ʃ e n ɐ ɾ k ɐ n d ̪ i
ন ি র া প ত ্ ত া ই,n i ɾ ɐ p ɔ t ̪ t ̪ ɐ ͡ i ̯
প ো ন া ও,p o n ɐ ͡ o ̯
র া জ ন ী ত ি ক ী ক র ণ ে র,ɾ ɐ ɟ n i t ̪ i k i k ɾ o n e ɾ
ই স ম া ত,i s m ɐ t ̪
ই ন ্ দ ো ন ে শ ি য় া য় ।,i n d ̪ o n e ʃ i ʲ ɐ ʲ ।
"র য় ে ছ ে ই ,","ɾ ɔ ʲ e c ʰ e ͡ i ̯ ,"
অ ং শ গ ্ র হ ণ,ɔ ŋ ʃ o g ɾ o h o n
অ ব ব া হ ি ক া ভ ি ত ্ ত ি ক,ɔ b o b ɐ h i k ɐ b ʱ i t ̪ t ̪ i k
"র া জ ্ জ া ক ,","ɾ ɐ ɟ ɟ ɐ k ,"
র া ম া দ া ন,ɾ ɐ m ɐ d ̪ ɐ n
অ ব ত র ণ ে র,ɔ b o t ̪ ɔ ɾ ɔ n e ɾ
চ ক ্ ষ ু ব ি জ ্ ঞ া ন,c o k k ʰ u b i g g ɐ n
ঈ স া ন,i ʃ ɐ n
দ শ ট া য়,d ̪ ɔ ʃ t ɐ ʲ
ব র ্ ণ ব া দ ে র,b ɔ ɾ n o b ɐ d ̪ e ɾ
"শ ট গ া ন ,","ʃ ɔ t g ɐ n ,"
অ প র জ ন,ɔ p ɔ ɾ ɟ ɔ n
চ র া ন ো র,c ɔ ɾ ɐ n o ɾ
ন ে য় া য়,n e ʲ ɐ ʲ
ক ন স ্ য ু ল ে ট,k ɔ n o ʃ ʃ o ͡ u ̯ l e t
এ ই গ ু ল া,e ͡ i ̯ g u l ɐ
ছ া ড় ত ে ই,c ʰ ɐ ɽ t ̪ e ͡ i ̯
